[17:04:44] [INFO] [StartLoader:Backend] sendProgress(33, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(33, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(33, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(33, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(33, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(33, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(33, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(34, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(34, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(34, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(34, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(34, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(34, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(34, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(34, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(35, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(35, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(35, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(35, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(35, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(35, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(35, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(35, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(36, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(36, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(36, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(36, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(36, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(36, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(36, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(36, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(37, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(37, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(37, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(37, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(37, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(37, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(37, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(38, 'UPDATING_DATABASE')
